epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.471,1.56424,1.31771,1.30725,0.59631,0.49343,0.50223,0.22729,1.99953,2.57143,1.88196,0.00332804,0.00332804,0.0700476
2,331.382,1.4702,1.08899,1.28273,0.80345,0.70704,0.81109,0.49429,1.36852,1.24403,1.39641,0.00659543,0.00659543,0.0399817
3,492.393,1.38715,0.93399,1.24311,0.80098,0.73455,0.81206,0.49869,1.38177,1.11321,1.42714,0.00979681,0.00979681,0.00984972
4,652.329,1.34108,0.8653,1.21419,0.84315,0.75219,0.89663,0.56864,1.26114,1.07723,1.32463,0.009703,0.009703,0.009703
5,811.738,1.30085,0.80365,1.19589,0.90872,0.8557,0.93557,0.61923,1.21101,0.73138,1.28766,0.009604,0.009604,0.009604
6,971.214,1.28005,0.76683,1.17764,0.91833,0.90706,0.95935,0.62917,1.22459,0.66255,1.28221,0.009505,0.009505,0.009505
7,1130.96,1.23656,0.71765,1.15786,0.92168,0.90558,0.95858,0.60911,1.26717,0.67089,1.31226,0.009406,0.009406,0.009406
8,1289.88,1.22003,0.70015,1.15101,0.93295,0.91461,0.963,0.64572,1.14522,0.60725,1.24046,0.009307,0.009307,0.009307
9,1449.71,1.21713,0.68119,1.14259,0.93985,0.92526,0.97104,0.64087,1.14542,0.61447,1.23819,0.009208,0.009208,0.009208
10,1608.98,1.18317,0.65128,1.12914,0.93496,0.90081,0.95896,0.62919,1.19601,0.65346,1.26436,0.009109,0.009109,0.009109
11,1768.03,1.17903,0.64935,1.12597,0.94739,0.9318,0.97657,0.67847,1.10013,0.55208,1.2021,0.00901,0.00901,0.00901
12,1928.57,1.16202,0.62794,1.11462,0.94299,0.93857,0.9746,0.68142,1.07948,0.56017,1.19543,0.008911,0.008911,0.008911
13,2088.23,1.15614,0.61748,1.11852,0.95494,0.94401,0.98192,0.70282,1.04764,0.51545,1.17352,0.008812,0.008812,0.008812
14,2247.75,1.13785,0.60468,1.1092,0.95353,0.94105,0.9804,0.70613,1.04064,0.51404,1.1696,0.008713,0.008713,0.008713
15,2407.34,1.13171,0.59683,1.10726,0.96032,0.9618,0.98635,0.70861,1.03885,0.48723,1.16147,0.008614,0.008614,0.008614
16,2567.05,1.11482,0.58282,1.09526,0.95284,0.95173,0.98331,0.70256,1.04249,0.48721,1.16672,0.008515,0.008515,0.008515
17,2726.03,1.10967,0.57248,1.09253,0.95155,0.94583,0.98031,0.72043,0.99657,0.48775,1.14113,0.008416,0.008416,0.008416
18,2885.32,1.1007,0.56124,1.08761,0.96464,0.96111,0.98538,0.72011,1.01795,0.46166,1.15026,0.008317,0.008317,0.008317
19,3044.08,1.10021,0.55996,1.08655,0.95626,0.95881,0.98517,0.71457,1.01286,0.46462,1.14933,0.008218,0.008218,0.008218
20,3202.34,1.08694,0.55264,1.07996,0.96503,0.96453,0.98727,0.71537,1.01126,0.453,1.13951,0.008119,0.008119,0.008119
